Dates,Food,Housing,"Fuel, light, and water charges",Furniture and household utensils,Clothing and footwear,Medical care,Transportation and communication,Education,Culture and recreation,The other household consumption expenditures
2020-05-19,2216.66,87.26,6.86,337.2,175.1,400.6,180.67,1.27,255.45,455.2
2020-05-20,2347.81,62.51,16.09,293.8,262.27,476.83,246.08,3.4,255.67,1144.12
2020-05-21,2231.12,38.57,4.3,263.4,239.18,383.29,271.29,8.19,283.29,1289.6
2020-05-22,2410.46,135.08,22.92,315.99,229.12,574.11,936.98,6.35,289.73,901.46
2020-05-23,2937.99,139.98,20.1,436.96,397.34,381.06,413.94,2.84,506.25,729.07
2020-05-24,2737.19,90.09,15.37,362.46,369.46,241.41,394.06,3.29,393.91,864.78
2020-05-25,2476.17,310.39,19.96,400.07,215.73,588.36,1029.37,50.33,361.8,2329.14
2020-05-26,2305.59,183.84,3.51,329.01,233.26,527.96,207.5,3.62,289.1,1131.66
2020-05-27,2290.65,137.16,13.8,396.27,285.45,531.36,734.58,3.47,469.45,1010.1
2020-05-28,2231.19,163.17,4.86,374.93,245.89,383.72,280.22,2.34,281.3,911.95
2020-05-29,2500.32,258.85,9.25,320.17,294.23,457.54,463.23,6.95,342.85,1009.02
2020-05-30,2938.34,228.39,3.43,459.92,452.68,375.18,632.36,2.44,484.58,786.2
2020-05-31,2649.92,145.37,23.11,594.14,457.66,176.83,433.88,0.17,472.6,827.16
2020-06-01,2369.7,309.61,9.42,393.44,276.99,612.45,280.01,9.11,517.73,2402.09
2020-06-02,2465.32,744.17,8.5,517.06,262.6,405.36,312.07,0.93,314.1,925.14
2020-06-03,2307.6,162.4,11.96,364.71,277.58,448.62,260.32,2.2,255.42,696.96
2020-06-04,2162.07,133.41,2.84,342.66,279.89,434.54,581.85,3.37,292.88,689.24
2020-06-05,2498.22,102.65,4.77,333.14,298.81,518.49,331.95,7.06,367.34,1557.06
2020-06-06,2957.01,573.13,0.86,746.58,493.43,414.54,483.53,6.52,558.96,708.12
2020-06-07,3059.89,36.94,6.71,829.45,600.45,252.89,578.66,4.17,602.41,797.55
2020-06-08,2246.75,1036.79,1.73,389.01,272.12,574.9,696.22,4.14,380.44,618.9
2020-06-09,2373.76,182.05,6.17,357.48,281.25,461.22,857.34,1.58,299.72,718.5
2020-06-10,2367.47,61.97,13.83,365.27,352.49,463.79,302.31,0.86,361.02,1370.91
2020-06-11,2110.39,116.24,2.91,326.32,276.82,510.93,251.76,1.66,241.25,699.43
2020-06-12,2387.73,847.75,8.93,330.88,374.4,734.87,423.42,2.97,338.65,1162.92
2020-06-13,2672.45,111.51,4.85,517.51,516.4,383.92,391.9,2.68,473.95,824.14
2020-06-14,2924.85,296.39,0.39,1005.16,573.91,163.09,401.77,3.12,540.34,801.08
2020-06-15,2356.35,123.79,14.44,432.29,334.69,552.95,542.82,2.02,369.89,1726.6
2020-06-16,2576.89,130.55,2.79,380.46,314.22,507.92,695.94,5.24,354.97,2052.79
2020-06-17,2412.57,99.92,7.5,473.48,375.62,417.5,1074.49,6.99,415.67,780.94
2020-06-18,2175.97,32.94,4.05,497.93,292.6,463.9,336.23,2.55,313.47,772.84
2020-06-19,2347.7,94.65,6.99,461.77,273.3,538.07,1495.36,4.69,347.85,1772.05
2020-06-20,3539.45,104.61,8.56,747.46,642.62,583.21,1267.53,5.52,730.53,1229.47
2020-06-21,3390.89,44.17,2.9,749.49,585.07,248.49,342.88,4.85,595.19,1304.81
2020-06-22,2201.65,432.62,16.49,562.31,260.56,510.22,415.37,1.23,260.88,766.52
2020-06-23,2425.32,426.86,1.02,325.76,244.32,395.84,430.85,0.17,365.18,868.1
2020-06-24,2251.96,356.84,3.7,382.21,248.7,529.57,379.29,1.16,318.98,1372.48
2020-06-25,2318.89,159.33,7.68,433.75,247.1,538.67,571.65,1.76,395.98,2224.64
2020-06-26,2446.52,173.36,5.54,354.03,298.53,629.98,333.51,6.02,385.39,1456.82
2020-06-27,3046.66,46.47,5.74,685.39,475.58,567.11,512.2,2.63,725.43,1095.52
2020-06-28,2938.98,122.99,4.33,962.43,480.18,287.65,365.02,1.55,1021.01,1002.62
2020-06-29,2340.91,274.13,7.23,754.54,265.19,606.22,358.74,3.08,494.14,758.55
2020-06-30,2272.42,395.73,5.6,508.94,265.65,557.14,891.55,5.58,404.29,1443.78
2020-07-01,2450.94,112.59,2.61,382.1,262.08,442.66,697.65,2.64,350.95,2925.83
2020-07-02,2420.99,633.29,6.48,321.45,263.2,432.09,370.54,2.2,379.38,1073.62
2020-07-03,2311.05,448.77,4.79,410.76,263.4,625.67,1749.09,1.01,337.97,1201.45
2020-07-04,2852.33,65.95,5.94,526.13,417.83,502.08,491.94,1.49,659.01,869.76
2020-07-05,3098.48,26.44,1.66,561.21,496.5,234.49,533.77,3.8,659.19,786.27
2020-07-06,2039.01,745.72,5.46,431.18,169.03,436.16,570.48,1.38,333.83,954.6
2020-07-07,2471.87,96.84,6.3,458.22,216.7,519.64,343.91,1.3,332.22,670.03
2020-07-08,2254.02,51.82,2.83,367.89,217.17,505.04,262.44,1.74,290.71,580.65
2020-07-09,2191.54,80.7,3.77,388.94,211.99,368.06,284.71,0.93,272.47,907.74
2020-07-10,2462.64,234.87,8.71,427.84,332.63,596.88,382.59,8.97,468.92,1277.7
2020-07-11,2843.93,55.52,1.94,807.53,469.98,564.36,549.33,2.55,655.79,924.51
2020-07-12,3058.95,48.32,2.13,508.65,401.89,241.89,473.97,0.13,559.95,646.45
2020-07-13,2082.31,265.42,3.21,347.96,222.39,595.23,280.36,1.66,271.4,690
2020-07-14,2114.45,98.51,2.26,315.37,170.75,434.35,233.29,2.42,281.17,734.48
2020-07-15,2348.6,84.44,1.8,375.4,206.7,465.89,784.47,1.28,289.5,1464.76
2020-07-16,2281.54,407.19,6.72,579.43,274.84,726.77,1142.64,2.01,361.9,1300.92
2020-07-17,2363.34,183.94,3.74,274.91,205.45,493.47,403.76,1.25,439.71,841.81
2020-07-18,2981.47,127.98,4.24,596.63,360.66,582.34,470.88,3.8,676.26,862.86
2020-07-19,2943.15,72.44,3.67,639.79,366.18,236.93,430.94,3.72,591.21,1032.52
2020-07-20,2460.04,92.32,2.99,466.73,228.58,601.52,693.85,11.76,535.92,1152.2
2020-07-21,2893.83,309.31,3.25,436.58,200.23,476.82,430.71,8.32,490.52,1320.93
2020-07-22,2507.35,61.36,10.9,434.75,195.44,799.72,343.41,0.95,655.65,1915.17
2020-07-23,2738.94,167.06,3.03,477.05,361.47,227.1,506.35,5.88,650.16,908.36
2020-07-24,2805.54,82.17,2.88,481.07,391.65,183.92,336.57,2.7,420.25,718.18
2020-07-25,2705.23,38.18,9.35,380.12,313.11,448.31,354.25,1.37,532.79,894.78
2020-07-26,2876.44,41.83,5.09,790.76,334.54,210.74,302,1.43,556.57,826.23
2020-07-27,2214.68,811.62,1.11,433.26,182.68,627.27,1287.24,1.84,434.33,1022.41
2020-07-28,2302.66,337.01,0.45,849.06,212.9,636.61,351.05,1.34,315.18,846.71
2020-07-29,2204.22,52.83,7.24,362.83,225.24,585.47,312.25,7.6,360.45,666.17
2020-07-30,2238.32,114.81,4.03,447.91,194.59,421.99,796.91,1.57,455.78,618.51
2020-07-31,2281.04,472.22,5.78,400.52,221.2,669.12,712.98,16.43,354.97,1183.61
2020-08-01,3275.09,223.16,4.04,663.11,325.48,588.02,1044.02,6.04,743.09,2077.42
2020-08-02,3222.83,140.81,4.3,548.21,298.14,240.29,434.96,1.96,531.52,877.71
2020-08-03,2420.3,316.12,5.82,418.87,221.7,718.2,254.05,5.59,353.23,971.42
2020-08-04,2465.7,734.99,2.93,458.26,185.85,556.98,448.24,1.79,341.5,676.76
2020-08-05,2441.28,226.83,4.07,528.02,182.77,653.65,1118.2,4.05,339.49,916.46
2020-08-06,2282.72,507.53,1.45,412.34,208.04,511.84,969.01,0.99,430.68,888.31
2020-08-07,2648.74,482.45,4.33,414.94,282.88,620.31,352.01,2.68,462.52,861.06
2020-08-08,3124.49,155.35,11.39,517.52,320.03,497.4,448.25,1.02,755.81,794.92
2020-08-09,3274.58,66.15,4.6,486.57,314.64,228.36,654.72,3.28,708.36,732.46
2020-08-10,2914.86,56.94,6.23,517.78,311.35,335.02,290.1,2.96,665.5,970
2020-08-11,2847.23,100.67,8.36,455.17,247.47,496.92,1713.01,8.54,514.16,915.21
2020-08-12,2942.96,120.45,7.48,491.56,189.89,464.63,338.01,1.3,650.49,1043.3
2020-08-13,3267.79,235.48,5.94,348.73,230.07,547.42,632.45,1.02,611.04,1148.09
2020-08-14,3167.05,102.11,2.35,475.3,290.69,430.37,319.8,0.47,600.99,1701.13
2020-08-15,2988.95,100.7,6.03,586.57,248.59,233.48,602.95,2.11,489.19,1072.64
2020-08-16,3138.45,66.36,2.09,672.45,280.79,219.01,1282.55,5.63,513.1,1169.78
2020-08-17,2331.12,631.95,5.66,663.36,172.3,525.06,391.16,2.21,412.8,1064.88
2020-08-18,2525.15,93.38,1.41,464.85,211.89,697.13,668.54,1.33,325.19,628.3
2020-08-19,2346.15,73.34,5.33,378.66,150.23,572.45,838.98,0.11,337.22,738.57
2020-08-20,2322.81,336.8,10.83,353.26,145.69,410.56,677.22,0.31,346.19,1156.54
2020-08-21,2422.05,73.78,1.69,397.06,229.22,519.34,857.27,2.74,344.52,1521.87
2020-08-22,2863.17,63.51,2.27,491.13,353.88,464.38,604.86,1.54,529.34,708.72
2020-08-23,2953.84,24.07,6.58,352.17,255.95,297.19,1092.06,1.81,618.32,634.21
2020-08-24,2154.41,72.72,2.01,384.88,185.35,456.68,330.2,0.98,278.5,696.42
2020-08-25,2598.53,159.85,3.33,247.04,164.23,552.73,1013.88,5.84,403.19,1757.69
2020-08-26,2211.84,71.05,12.29,341.2,159.94,611.16,713.06,0.73,263.38,987.95
2020-08-27,2210.65,96.56,1.8,408.55,144.64,593.61,400.01,2.83,417.4,802.99
2020-08-28,2417.58,699.35,5.05,328.8,252.32,521.28,888.76,0.2,363.6,1077.57
2020-08-29,2955.67,136.3,1.44,462.41,288.75,412.93,1227.03,2.15,478.15,706.95
2020-08-30,3040.51,29.58,1.65,497.75,315.24,262.54,418.4,3.55,458.45,642.75
2020-08-31,2108.8,619.01,3.11,224.61,163.88,579.74,424.49,1.17,296.43,1027
2020-09-01,2598.12,96.51,7.72,327.71,189.08,480.45,937.65,4.69,366.71,2185.81
2020-09-02,2237.06,26.34,2.32,596.54,155.4,506.86,901.72,2.07,275.33,694.08
2020-09-03,2184.5,41.36,2.46,269.98,131.16,504.89,379.9,1.1,264.53,713.97
2020-09-04,2498.41,417.63,6.34,280.43,161.05,556.83,397.14,1.48,527.95,876.44
